
=== Flow conditions ===
-- ue [m/s] = 869.1
-- pe [Pa] = 697.066
-- Te [K] = 55.2
-- Tw [K] = 97.5
-- Me = 5.83573
-- Taw [K] = 392.18
-- rhoe [kg/m^3] = 0.044
-- rhow [kg/m^3] = 0.0249108
-- delta [m] = 0.00124
-- Ny = 1000
-- mu_w [m^2/s] = 6.73838e-06
-- mu_e [m^2/s] = 3.60372e-06

=== Boundary layer values ===
-- Left:   delta = 0.00121917	 u_tau = 34.5228	 Re_tau = 155.598	 Cf = 0.00178664	 x = 0.050107
-- Center: delta = 0.00124	 u_tau = 34.4741	 Re_tau = 158.033	 Cf = 0.00178161	 x = 0.051107
-- Right:  delta = 0.00126077	 u_tau = 34.4265	 Re_tau = 160.457	 Cf = 0.00177668	 x = 0.052107

=== Left state ===
-- PI = 2.24693
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

=== Center state ===
-- PI = 2.24312
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

=== Right state ===
-- PI = 2.23942
-- T[1] = 97.5	T[Ny] = 55.2
-- rho[1] = 0.0249108	rho[Ny] = 0.044

-- Beginning interpolation
27.9793	0.00250312
28.1443	0.00252778
28.3096	0.00255271
28.4756	0.00257791
28.6451	0.00260339
28.8151	0.00262914
28.9856	0.00265518
29.1598	0.0026815
29.3346	0.00270811
29.5098	0.00273501
29.6888	0.0027622
29.8685	0.0027897
30.0487	0.0028175
30.2327	0.00284561
30.4175	0.00287403
30.6028	0.00290277
30.7919	0.00293183
30.982	0.00296121
31.1726	0.00299092
31.3671	0.00302096
31.5627	0.00305134
31.7587	0.00308206
31.9589	0.00311313
32.16	0.00314455
32.3618	0.00317632
32.5677	0.00320845
32.7746	0.00324095
32.9824	0.00327381
33.1943	0.00330706
33.4072	0.00334068
33.6212	0.00337468
33.8392	0.00340907
34.0583	0.00344386
34.2788	0.00347905
34.5032	0.00351464
34.7287	0.00355065
34.9559	0.00358707
35.187	0.00362391
35.4191	0.00366118
35.6533	0.00369888
35.8912	0.00373703
36.1301	0.00377562
36.3716	0.00381466
36.6166	0.00385415
36.8627	0.00389411
37.1117	0.00393454
37.3641	0.00397545
37.6175	0.00401684
37.8743	0.00405872
38.1343	0.0041011
38.3953	0.00414398
38.6604	0.00418737
38.9283	0.00423128
39.1972	0.00427571
39.4707	0.00432067
39.7468	0.00436618
40.0242	0.00441223
40.3062	0.00445883
40.5909	0.004506
40.8772	0.00455374
41.1678	0.00460206
41.4613	0.00465096
41.7569	0.00470045
42.0566	0.00475055
42.3592	0.00480127
42.6645	0.0048526
42.9735	0.00490456
43.2856	0.00495716
43.6008	0.0050104
43.9196	0.00506431
44.2415	0.00511887
44.5672	0.00517412
44.896	0.00523005
45.2282	0.00528667
45.5646	0.005344
45.904	0.00540204
46.2467	0.00546081
46.5944	0.00552031
46.9446	0.00558057
47.2984	0.00564157
47.6577	0.00570335
48.0193	0.00576591
48.3846	0.00582926
